Heel_X,Heel_Y,Heel_Z,TOE_X,TOE_Y,TOY_Z,"sqrt(heel x, y, z)","sqrt(toe x, y, z)",PD_or_Non
-0.061603,0.12487,1.3601,-0.094154,-0.062885,1.3416,1.3672,1.3464,0
-0.061486,0.12478,1.3646,-0.094005,-0.06362,1.3414,1.3717,1.3462,0
-0.061707,0.12477,1.3688,-0.093818,-0.063963,1.3414,1.3758,1.3462,0
-0.062127,0.12484,1.3721,-0.093627,-0.063903,1.3416,1.3792,1.3464,0
-0.062578,0.12496,1.3744,-0.093462,-0.063488,1.3423,1.3815,1.347,0
-0.062909,0.12509,1.3758,-0.09335,-0.062807,1.3436,1.3829,1.3483,0
-0.063003,0.12519,1.3763,-0.093319,-0.061989,1.3458,1.3834,1.3504,0
-0.062808,0.12523,1.3763,-0.093391,-0.061203,1.3488,1.3834,1.3534,0
-0.06235,0.12517,1.3759,-0.09358,-0.060653,1.3526,1.383,1.3572,0
-0.061738,0.12502,1.3755,-0.093877,-0.060574,1.357,1.3825,1.3616,0
-0.061161,0.1248,1.3751,-0.094248,-0.061204,1.3614,1.3821,1.3661,0
-0.060866,0.12454,1.3748,-0.094621,-0.062752,1.3657,1.3817,1.3704,0
-0.06113,0.12433,1.3746,-0.094896,-0.065351,1.3695,1.3815,1.3743,0
-0.062204,0.12425,1.3744,-0.094948,-0.069028,1.3728,1.3815,1.3778,0
-0.064264,0.12437,1.3744,-0.094657,-0.073684,1.376,1.3815,1.3812,0
-0.067353,0.12475,1.3744,-0.093937,-0.079112,1.3796,1.3817,1.3851,0
-0.071354,0.12539,1.3744,-0.09277,-0.08504,1.3843,1.382,1.39,0
-0.075989,0.12619,1.3745,-0.091224,-0.09118,1.3908,1.3824,1.3968,0
-0.080854,0.12698,1.3747,-0.089456,-0.097262,1.3996,1.3829,1.4058,0
-0.085488,0.12748,1.3751,-0.087663,-0.10305,1.4109,1.3836,1.4174,0
-0.089449,0.12738,1.3755,-0.086006,-0.10835,1.4247,1.3843,1.4314,0
-0.0924,0.12635,1.3761,-0.084478,-0.11302,1.4405,1.385,1.4474,0
-0.094164,0.12416,1.3766,-0.082774,-0.117,1.4572,1.3854,1.4643,0
-0.094759,0.12073,1.3769,-0.080201,-0.12035,1.4737,1.3854,1.4808,0
-0.094393,0.11622,1.3767,-0.075685,-0.12327,1.4888,1.3849,1.4958,0
-0.093431,0.11101,1.3761,-0.067949,-0.12607,1.5013,1.3837,1.5081,0
-0.092337,0.10565,1.3748,-0.055873,-0.12912,1.5108,1.3819,1.5173,0
-0.091599,0.1008,1.373,-0.038963,-0.13275,1.5172,1.3797,1.5235,0
-0.091633,0.096999,1.3709,-0.01782,-0.13719,1.5216,1.3774,1.5279,0
-0.092693,0.094617,1.3692,0.0055851,-0.14255,1.5256,1.3756,1.5323,0
-0.094779,0.093717,1.3684,0.02799,-0.14875,1.5316,1.3749,1.5391,0
-0.097571,0.094054,1.3693,0.045329,-0.15562,1.5423,1.376,1.5508,0
-0.10042,0.095108,1.3722,0.05352,-0.16284,1.5601,1.3792,1.5695,0
-0.10241,0.096201,1.3773,0.049328,-0.16995,1.587,1.3845,1.5968,0
-0.10253,0.096635,1.3839,0.030991,-0.17638,1.6237,1.3911,1.6335,0
-0.099903,0.095882,1.3908,-0.0015551,-0.18138,1.6698,1.3977,1.6797,0
-0.094148,0.093757,1.3958,-0.046884,-0.18405,1.7244,1.4021,1.7349,0
-0.085683,0.090578,1.3967,-0.10255,-0.18352,1.786,1.4023,1.7983,0
-0.075982,0.08724,1.3913,-0.16563,-0.17913,1.8535,1.3961,1.8695,0
-0.06763,0.085184,1.3785,-0.23311,-0.17082,1.927,1.3828,1.9486,0
-0.064084,0.086189,1.359,-0.30218,-0.15947,2.0082,1.3632,2.0371,0
